"","sample_type","esv_id","kpcofgs","ucsb_id","total_sample_number","total_percent_match","total_number_species"
"49","unground owl pellet","ESV_014641","Eukaryota, Ascomycota, , , , , ","UCSB-IZC00044827",121,93.1,9
"50","unground owl pellet","ESV_014645","Eukaryota, Ascomycota, , , , , ","UCSB-IZC00044827",78,93.1,7
"51","unground owl pellet","ESV_014846","Eukaryota, Ascomycota, , , , , ","UCSB-IZC00044827",19,92.3,7
"52","unground owl pellet","ESV_017740","Eukaryota, Ascomycota, Dothideomycetes, Pleosporales, , , ","UCSB-IZC00044827",563,99.2,5
"53","unground owl pellet","ESV_020793","Eukaryota, Ascomycota, Eurotiomycetes, Eurotiales, Aspergillaceae, Aspergillus, wentii","UCSB-IZC00044827",85,100,1
"54","unground owl pellet","ESV_022072","Bacteria, Proteobacteria, Gammaproteobacteria, Pseudomonadales, Pseudomonadaceae, Pseudomonas, ","UCSB-IZC00044827",16,99,18
"55","unground owl pellet","ESV_025318","Eukaryota, Arthropoda, , , , , ","UCSB-IZC00044827",1075,86.5,28
"56","unground owl pellet","ESV_025319","Eukaryota, Basidiomycota, Tremellomycetes, Tremellales, Bulleribasidiaceae, Vishniacozyma, psychrotolerans","UCSB-IZC00044827",702,100,1
"57","unground owl pellet","ESV_025320","Bacteria, Proteobacteria, Gammaproteobacteria, Pseudomonadales, Moraxellaceae, Acinetobacter, ","UCSB-IZC00044827",566,99,3
"58","unground owl pellet","ESV_025321","Bacteria, Proteobacteria, Gammaproteobacteria, Pseudomonadales, Moraxellaceae, Acinetobacter, lwoffii","UCSB-IZC00044827",438,100,1
"59","unground owl pellet","ESV_025322","Bacteria, Proteobacteria, Gammaproteobacteria, Pseudomonadales, Moraxellaceae, Acinetobacter, ","UCSB-IZC00044827",288,99,2
"60","unground owl pellet","ESV_025323","Bacteria, Proteobacteria, Gammaproteobacteria, Pseudomonadales, Moraxellaceae, Acinetobacter, ","UCSB-IZC00044827",185,99,2
"61","unground owl pellet","ESV_025324","Bacteria, Bdellovibrionota, Bdellovibrionia, Bdellovibrionales, Bdellovibrionaceae, Bdellovibrio, bacteriovorus","UCSB-IZC00044827",149,98.1,1
"62","unground owl pellet","ESV_025325","Bacteria, Proteobacteria, Gammaproteobacteria, Pseudomonadales, Moraxellaceae, Acinetobacter, ","UCSB-IZC00044827",106,99,2
"63","unground owl pellet","ESV_025326","Eukaryota, Ascomycota, Eurotiomycetes, Eurotiales, Aspergillaceae, Aspergillus, wentii","UCSB-IZC00044827",77,98.4,1
