site,kpcofgs,samples_sent,matches,percent_match,common_name
NVBR,"Eukaryota, Chordata, Actinopteri, Atheriniformes, Atherinopsidae, Leuresthes, Leuresthes tenuis",1,6132,92.9,California grunion
NVBR,"Eukaryota, Chordata, Actinopteri, Atheriniformes, Atherinopsidae, Menidia, Menidia beryllina",2,2679,98.5,
NVBR,"Eukaryota, Chordata, Actinopteri, Blenniiformes, Blenniidae, Entomacrodus, Entomacrodus caudofasciatus",1,1143,89.9,
NVBR,"Eukaryota, Chordata, Actinopteri, Clupeiformes, Clupeidae",1,15,99.4,herrings
NVBR,"Eukaryota, Chordata, Actinopteri, Clupeiformes, Clupeidae, Clupea, Clupea pallasii",1,176,100,Pacific herring
NVBR,"Eukaryota, Chordata, Actinopteri, Cyprinodontiformes, Fundulidae",1,72,86.9,topminnows
NVBR,"Eukaryota, Chordata, Actinopteri, Gobiiformes, Gobiidae, Gillichthys, Gillichthys mirabilis",4,1016,98.8,long-jawed mudsucker
NVBR,"Eukaryota, Chordata, Actinopteri, Mugiliformes, Mugilidae, Mugil, Mugil cephalus",1,55,97.7,flathead mullet
NVBR,"Eukaryota, Chordata, Actinopteri, Stomiiformes, Gonostomatidae, Cyclothone, Cyclothone obscura",1,154,100,
NVBR,"Eukaryota, Chordata, Aves, Anseriformes, Anatidae",1,62,100,waterfowl
NVBR,"Eukaryota, Chordata, Mammalia, Artiodactyla, Suidae, Sus, Sus scrofa",1,19,100,pig
NVBR,"Eukaryota, Chordata, Mammalia, Primates, Hominidae, Homo, Homo sapiens",1,802,100,human
NVP2,"Eukaryota, Chordata, Aves, Anseriformes, Anatidae, Branta, Branta canadensis",1,64,100,Canada goose
NVP4,"Eukaryota, Chordata, Aves, Anseriformes, Anatidae",5,1269,99.36,waterfowl
NVP4,"Eukaryota, Chordata, Aves, Anseriformes, Anatidae, Mareca",1,57,100,
NVP4,"Eukaryota, Chordata, Mammalia, Primates, Hominidae, Homo, Homo sapiens",1,12,100,human
NWP,"Eukaryota, Chordata, Actinopteri, Atheriniformes, Atherinopsidae, Leuresthes, Leuresthes tenuis",1,1319,92.9,California grunion
NWP,"Eukaryota, Chordata, Actinopteri, Atheriniformes, Atherinopsidae, Menidia, Menidia beryllina",1,1701,98.8,inland silverside
NWP,"Eukaryota, Chordata, Actinopteri, Cypriniformes",1,1386,100,carps and others
NWP,"Eukaryota, Chordata, Actinopteri, Cypriniformes, Cyprinidae, Carassius",2,1704,99.7,
NWP,"Eukaryota, Chordata, Actinopteri, Cyprinodontiformes, Fundulidae",1,743,86.9,topminnows
NWP,"Eukaryota, Chordata, Actinopteri, Cyprinodontiformes, Poeciliidae, Gambusia",1,79,99.4,
NWP,"Eukaryota, Chordata, Actinopteri, Cyprinodontiformes, Poeciliidae, Gambusia, Gambusia affinis",1,209,100,western mosquitofish
NWP,"Eukaryota, Chordata, Actinopteri, Gobiiformes, Gobiidae, Gillichthys, Gillichthys mirabilis",3,17572,98.8,long-jawed mudsucker
NWP,"Eukaryota, Chordata, Actinopteri, Perciformes, Cottidae, Leptocottus, Leptocottus armatus",1,15,100,Pacific staghorn sculpin
NWP,"Eukaryota, Chordata, Actinopteri, Salmoniformes, Salmonidae, Salmo, Salmo salar",1,89,100,Atlantic salmon
NWP,"Eukaryota, Chordata, Aves, Anseriformes, Anatidae",1,322,100,waterfowl
PIER,"Eukaryota, Chordata, Actinopteri, Atheriniformes, Atherinopsidae, Leuresthes, Leuresthes tenuis",2,301,92.6,California grunion
PIER,"Eukaryota, Chordata, Actinopteri, Cypriniformes",1,6277,100,carps and others
PIER,"Eukaryota, Chordata, Actinopteri, Cypriniformes, Cyprinidae, Carassius",1,3548,100,
PIER,"Eukaryota, Chordata, Actinopteri, Cyprinodontiformes, Fundulidae",1,351,86.9,topminnows
PIER,"Eukaryota, Chordata, Actinopteri, Cyprinodontiformes, Fundulidae, Fundulus, Fundulus lima",1,58,95.8,killifish
PIER,"Eukaryota, Chordata, Actinopteri, Cyprinodontiformes, Poeciliidae, Gambusia, Gambusia affinis",1,3217,100,western mosquitofish
PIER,"Eukaryota, Chordata, Actinopteri, Gobiiformes, Gobiidae, Gillichthys, Gillichthys mirabilis",1,247,99.4,long-jawed mudsucker
PIER,"Eukaryota, Chordata, Actinopteri, Syngnathiformes, Syngnathidae, Syngnathus",3,8696,99.4,
PIER,"Eukaryota, Chordata, Actinopteri, unk_order, Sciaenidae",1,22,92.3,drums
PIER,"Eukaryota, Chordata, Aves, Anseriformes, Anatidae",1,589,100,waterfowl
PIER,"Eukaryota, Chordata, Mammalia, Artiodactyla, Bovidae",1,692,100,
PIER,"Eukaryota, Chordata, Mammalia, Artiodactyla, Bovidae, Bos, Bos taurus",1,64,100,cattle
PIER,"Eukaryota, Chordata, Mammalia, Artiodactyla, Bovidae, Ovis",1,760,100,
PIER,"Eukaryota, Chordata, Mammalia, Artiodactyla, Bovidae, Ovis, Ovis aries",1,81,98.8,sheep
NA,"Eukaryota, Chordata, Actinopteri, Cyprinodontiformes, Fundulidae, Fundulus, Fundulus lima",3,11089,95.6,killifish
NA,"Eukaryota, Chordata, Aves, Anseriformes, Anatidae",1,935,100,waterfowl
NA,"Eukaryota, Chordata, Aves, Anseriformes, Anatidae, Mareca",1,92,100,
NA,"Eukaryota, Chordata, Mammalia, Artiodactyla, Bovidae",1,106,100,
