site,kpcofgs,samples_sent,matches,percent_match,common_name
NEC,"Eukaryota, Bacillariophyta, Bacillariophyceae, Naviculales, Amphipleuraceae, Halamphora",5,323,96.76,
NEC,"Eukaryota, Bacillariophyta, Coscinodiscophyceae, Thalassiosirales",2,38,96.7,
NEC,"Eukaryota, unk_phylum, Eustigmatophyceae, Eustigmatales, Monodopsidaceae",12,2966,96.175,
NMC,"Bacteria, Cyanobacteria",7,227,92.88571428571429,blue-green algae
NMC,"Bacteria, Cyanobacteria, unk_class, Nostocales, Nostocaceae, Nostoc, Nostoc linckia",1,95,87.1,
NMC,"Bacteria, Cyanobacteria, unk_class, Synechococcales, Leptolyngbyaceae, Leptolyngbya, Leptolyngbya sp. PCC 6406",1,85,94.6,
NMC,"Eukaryota, unk_phylum, Eustigmatophyceae, Eustigmatales, Monodopsidaceae",7,4667,94,
NPB,"Bacteria, Cyanobacteria",3,48,94.60000000000001,blue-green algae
NPB,"Bacteria, Cyanobacteria, unk_class, Synechococcales, Synechococcaceae, Cyanobium",1,28,100,
NPB,"Bacteria, Cyanobacteria, unk_class, Synechococcales, Synechococcaceae, Synechococcus",10,359,95.95,
NPB,"Eukaryota, Bacillariophyta",3,44,94.9,
NPB,"Eukaryota, Bacillariophyta, Bacillariophyceae",2,12819,98.65,"Raphid, pennate diatoms"
NPB,"Eukaryota, Bacillariophyta, Bacillariophyceae, Bacillariales, Bacillariaceae",3,65,99.3,
NPB,"Eukaryota, Bacillariophyta, Bacillariophyceae, Bacillariales, Bacillariaceae, Nitzschia",1,8,99.1,
NPB,"Eukaryota, Bacillariophyta, Bacillariophyceae, Bacillariales, Bacillariaceae, Nitzschia, Nitzschia sp. CCMP2526",1,12,99.4,
NPB,"Eukaryota, Bacillariophyta, Bacillariophyceae, Bacillariales, Bacillariaceae, Tryblionella, Tryblionella compressa",1,8,100,
NPB,"Eukaryota, Bacillariophyta, Coscinodiscophyceae",4,76,98.425,centric diatoms
NPB,"Eukaryota, Bacillariophyta, Coscinodiscophyceae, Thalassiosirales",7,462,97.55714285714285,
NPB,"Eukaryota, Bacillariophyta, Coscinodiscophyceae, Thalassiosirales, Thalassiosiraceae, Thalassiosira, Thalassiosira pseudonana",1,227,100,
NPB,"Eukaryota, Bacillariophyta, Fragilariophyceae, Fragilariales, Staurosiraceae, Nanofrustulum, Nanofrustulum shiloi",2,122,99.1,
NPB,"Eukaryota, Euglenozoa, Euglenida, Euglenales, Euglenaceae",1,8,87.2,
NPB,"Eukaryota, unk_phylum, Eustigmatophyceae, Eustigmatales, Monodopsidaceae",11,3428,97.51818181818182,
NPB,"Eukaryota, unk_phylum, Eustigmatophyceae, Eustigmatales, Monodopsidaceae, Nannochloropsis",1,55,100,
NPB1,"Bacteria, Cyanobacteria",2,81,92.2,blue-green algae
NPB1,"Bacteria, Cyanobacteria, unk_class, Chroococcales, Aphanothecaceae, Gloeothece",1,8,93.4,
NPB1,"Eukaryota, Bacillariophyta, Bacillariophyceae",2,25,96.25,"Raphid, pennate diatoms"
NPB1,"Eukaryota, Bacillariophyta, Bacillariophyceae, Bacillariales, Bacillariaceae",4,85,98.425,
NPB1,"Eukaryota, Bacillariophyta, Bacillariophyceae, Naviculales",1,16,99.4,
NPB1,"Eukaryota, Bacillariophyta, Bacillariophyceae, Naviculales, Naviculaceae",3,74,99.5,
NPB1,"Eukaryota, Bacillariophyta, Bacillariophyceae, Naviculales, Naviculaceae, Navicula",1,21,100,
NPB1,"Eukaryota, Bacillariophyta, Bacillariophyceae, Naviculales, Sellaphoraceae, Sellaphora",1,9,97.9,
NPB1,"Eukaryota, Bacillariophyta, Coscinodiscophyceae, Thalassiosirales",2,181,98.94999999999999,
NPB1,"Eukaryota, Bacillariophyta, Fragilariophyceae, Fragilariales, Staurosiraceae, Nanofrustulum, Nanofrustulum shiloi",3,298,99.2,
NPB1,"Eukaryota, Chlorophyta, Trebouxiophyceae, Trebouxiales, Trebouxiaceae, Trebouxia",1,17,98.8,
NPB1,"Eukaryota, Chlorophyta, Trebouxiophyceae, unk_order, unk_family, Choricystis, Choricystis parasitica",3,185,98,
NPB1,"Eukaryota, Euglenozoa, Euglenida, Euglenales, Euglenaceae, Euglena, Euglena sp. Jilnal030207I",1,69,100,
NPB1,"Eukaryota, Streptophyta, Magnoliopsida, Malpighiales, Salicaceae",1,88,100,
NPB1,"Eukaryota, unk_phylum, Cryptophyceae, Cryptomonadales, Cryptomonadaceae, Cryptomonas, Cryptomonas obovoidea",5,635,98.5,
NPB1,"Eukaryota, unk_phylum, Eustigmatophyceae, Eustigmatales, Monodopsidaceae",18,1358,97.81666666666666,
NPB1,"Eukaryota, unk_phylum, Xanthophyceae, Tribonematales, Tribonemataceae, Tribonema",6,464,98.65,
NPB1,"Eukaryota, unk_phylum, Xanthophyceae, Tribonematales, Tribonemataceae, Tribonema, Tribonema affine",5,454,97.96000000000001,
NPB2,"Bacteria, Cyanobacteria",5,80,93.75999999999999,blue-green algae
NPB2,"Bacteria, Cyanobacteria, unk_class, Chroococcales, Chroococcaceae, Chondrocystis, Chondrocystis sp. NIES-4102",2,434,95.65,
NPB2,"Bacteria, Cyanobacteria, unk_class, Oscillatoriales, Microcoleaceae, Planktothrix, Planktothrix serta",2,201,96.1,
NPB2,"Bacteria, Cyanobacteria, unk_class, Pleurocapsales, Hyellaceae, Pleurocapsa, Pleurocapsa sp. 04302-00001",2,81,95.8,
NPB2,Eukaryota,1,9,99.7,eucaryotes
NPB2,"Eukaryota, Bacillariophyta, Bacillariophyceae, Bacillariales, Bacillariaceae, Cylindrotheca, Cylindrotheca closterium",1,11,100,
NPB2,"Eukaryota, Bacillariophyta, Bacillariophyceae, Naviculales",2,26,98.65,
NPB2,"Eukaryota, Bacillariophyta, Bacillariophyceae, Naviculales, Naviculaceae",1,24,99.7,
NPB2,"Eukaryota, Bacillariophyta, Fragilariophyceae, Fragilariales, Staurosiraceae, Nanofrustulum, Nanofrustulum shiloi",1,19,99.7,
NPB2,"Eukaryota, Chlorophyta, Trebouxiophyceae, unk_order, unk_family, Choricystis, Choricystis parasitica",1,18,98.5,
NPB2,"Eukaryota, Chlorophyta, Ulvophyceae, Ulvales, Ulvaceae, Ulva",2,228,91.8,
NPB2,"Eukaryota, Streptophyta, Magnoliopsida, Caryophyllales",1,11,100,
NPB2,"Eukaryota, Streptophyta, Magnoliopsida, Malpighiales, Salicaceae",1,41,100,
NPB2,"Eukaryota, unk_phylum, Eustigmatophyceae, Eustigmatales, Monodopsidaceae",11,891,96.86363636363636,
NPB2,"Eukaryota, unk_phylum, Synurophyceae, Synurales, Mallomonadaceae",1,30,92.8,
NVBR,"Bacteria, Cyanobacteria",2,24,94.75,blue-green algae
